Checking_Account,Credit_Duration,Credit_History,Purpose,Credit_Amount,Savings_Account,Present_Employment_Duration,Installment_Rate,Personal_Status_And_Gender,Other_Debtors_Guarantors,Present_Residence_Duration,Property,Age_Group,Other_Installment_Plans,Housing,Num_Existing_Credits,Job_Class,Num_Liables,Telephone,Foreign_Worker
STRING,STRING,STRING,STRING,STRING,STRING,STRING,NUMERIC,STRING,STRING,NUMERIC,STRING,STRING,STRING,STRING,NUMERIC,STRING,NUMERIC,STRING,STRING
... < 0 DM,6-7,critical account/ other credits existing (not at this bank),radio/television,1000 <= ... < 2000,unknown/ no savings account, .. >= 7 years,4,male: single,none,4,real estate,65-69,none,own,2,skilled employee/ official,1,yes,yes
0 <= ... <  200 DM,43-48,existing credits paid back duly till now,radio/television,4000 <= ... < 8000, ... <  100 DM,1  <= ... < 4 years,2,female: divorced/separated/married,none,2,real estate,20-24,none,own,1,skilled employee/ official,1,none,yes
no checking account,11-14,critical account/ other credits existing (not at this bank),education,2000 <= ... < 4000, ... <  100 DM,4  <= ... < 7 years,2,male: single,none,3,real estate,45-49,none,own,1,unskilled - resident,2,none,yes
... < 0 DM,37-42,existing credits paid back duly till now,furniture/equipment,4000 <= ... < 8000, ... <  100 DM,4  <= ... < 7 years,2,male: single,guarantor,4,building society savings agreement/ life insurance,45-49,none,for free,1,skilled employee/ official,2,none,yes
... < 0 DM,19-24,delay in paying off in the past,car (new),4000 <= ... < 8000, ... <  100 DM,1  <= ... < 4 years,3,male: single,none,4,unknown/ no property,50-54,none,for free,2,skilled employee/ official,2,none,yes
no checking account,31-36,existing credits paid back duly till now,education,8000 <= ... < 16000,unknown/ no savings account,1  <= ... < 4 years,2,male: single,none,4,unknown/ no property,35-39,none,for free,1,unskilled - resident,2,yes,yes
no checking account,19-24,existing credits paid back duly till now,furniture/equipment,2000 <= ... < 4000,500 <= ... < 1000 DM, .. >= 7 years,3,male: single,none,4,building society savings agreement/ life insurance,50-54,none,own,1,skilled employee/ official,1,none,yes
0 <= ... <  200 DM,31-36,existing credits paid back duly till now,car (used),4000 <= ... < 8000, ... <  100 DM,1  <= ... < 4 years,2,male: single,none,2,car or other,35-39,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes
no checking account,11-14,existing credits paid back duly till now,radio/television,2000 <= ... < 4000,.. >= 1000 DM,4  <= ... < 7 years,2,male: divorced/separated,none,4,real estate,60-64,none,own,1,unskilled - resident,1,none,yes
0 <= ... <  200 DM,25-30,critical account/ other credits existing (not at this bank),car (new),4000 <= ... < 8000, ... <  100 DM,unemployed,4,male: married/widowed,none,2,car or other,25-29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
