WASDE - 563

"WHEAT:  U.S. wheat imports for 2016/17 are reduced this month by 10 million bushels to 115 million.  Ending stocks are projected lower by the same amount to 1,129 million bushels.  The season-average farm price is unchanged with the midpoint of the range at $3.85 per bushel. "

"Internationally, global production increased 2.8 million tons to 751.1 million, mainly due to larger crops in Argentina and Australia more than offsetting a slight reduction in the European Union.  Australia’s 2016/17 wheat production is raised 2.0 million tons to a record-large 35.0 million.  USDA model-based analysis of weather data estimates Australia’s yield in line with the latest Australia Bureau of Agricultural and Resource Economics and Sciences (ABARES) estimate.  Projected exports are increased for both Australia and Argentina on their larger supplies while Canada’s exports are reduced on a sluggish export pace.  Global imports are raised this month led by India, which was raised 1.8 million tons to 5.5 million.  This would be the largest wheat import total for India since 2006/07; India stocks have successively declined since 2012/13.  Despite higher projected global use, driven by India, 2016/17 global ending stocks are increased by 1.3 million tons to 249.9 million."

"COARSE GRAINS:  This month’s 2016/17 U.S. corn outlook is for increased corn used to produce ethanol and reduced feed and residual use.  Corn used to produce ethanol is raised 50 million bushels to 5,400 million based on the most recent data from the Grain Crushings and Co-Products Production report and strong pace of weekly ethanol production during February as indicated by Energy Information Administration data.  Offsetting is a 50 million bushel reduction in projected feed and residual use to 5,550 million bushels based on indicated use during 2015/16, increased corn used to produce ethanol, and higher expected sorghum feeding.  Ending stocks are unchanged from last month.  The projected range for the season-average corn price received by producers is unchanged at $3.20 to $3.60 per bushel. "

"Corn for food, seed, and industrial use (FSI) is raised 11 million bushels for 2015/16 reflecting a 18-million-bushel increase in estimated corn used in ethanol production based on revisions to monthly data reported in the March 1 Grain Crushings and Co-Products Production 2016 Summary.  Partially offsetting is a marginal reduction in non-ethanol FSI.  With stocks and trade known, a change is made to feed and residual use."

"Global coarse grain production for 2016/17 is forecast 12.7 million tons higher from last month to 1,341.7 million.  This month’s foreign coarse grain outlook is for increased production, consumption, trade, and stocks relative to last month.  Brazil corn production is raised on increases to both projected area and yield.  Reported first crop yields have been record high, while the rapid planting progress of second crop corn in the Center-West boosts expected area and yield prospects, allowing for greater crop development prior to the normal end of the rainy season.  South Africa corn production is higher as above normal rainfall and benign temperatures during grain fill support an increased yield forecast.  India corn production is raised based on the latest government statistics.  Argentina corn production is increased based on higher-than-expected yield results for early-planted corn and indications of larger planted area.  Barley production for Australia is projected sharply higher based on the latest information from ABARES."

"Major global trade changes for 2016/17 this month include higher projected corn exports for Brazil, Argentina, and South Africa.  Corn imports are raised for Iran, while barley imports are raised for Saudi Arabia and China.  Foreign corn ending stocks are raised from last month, mostly reflecting increases for Brazil, Argentina, Iran and South Africa.  "

RICE:  The U.S. 2016/17 rice supply and demand estimates are unchanged this month.  The all rice marketing year average price is also unchanged with the midpoint of the range at $10.50 per cwt.  Medium-and short-grain prices are raised slightly.  

"Global rice production is minimally increased to 480.4 million tons with Brazil accounting for all of the increase.  World exports are modestly reduced as lower exports by Australia, India, and Vietnam are only partially offset by increases for Brazil and China.  Global use is fractionally raised this month, resulting in projected ending stocks declining to 117.7 million tons, which is still the highest level since 2001/02."

"OILSEEDS:  U.S. soybean supply and use changes for 2016/17 include higher crush, lower exports, and increased ending stocks compared with last month’s report.  Soybean crush is raised 10 million bushels to 1,940 million on increased domestic soybean meal disappearance.  Soybean exports are reduced 25 million bushels to 2,025 million with increased production and exports for Brazil.  Soybean stocks are projected at 435 million bushels, up 15 million from last month.  With increased crush, soybean oil production, exports, and ending stocks are forecast higher."

"The season-average soybean price range forecast of $9.30 to $9.90 per bushel is raised 10 cents at the midpoint.  Soybean oil prices are forecast at 32 to 35 cents per pound, down 2 cents at the midpoint.  Soybean meal prices are unchanged at $310 to $340 per short ton."

"The 2016/17 global oilseed supply and demand forecasts include higher production, exports, and ending stocks compared to last month.  Global oilseed supplies are raised 3.2 million tons to 646.9 million mainly on a 4-million-ton increase to the Brazilian soybean crop, which is projected at a record 108 million tons.  The crop has benefited from favorable weather with ample rainfall throughout the growing season, raising the prospects for record yields.  Also adding to oilseed supplies are increases to rapeseed production in Australia and sunflowerseed in Turkey and Serbia.  "

"Global oilseed exports are raised 1.4 million tons from last month mostly on a 1.0-million-ton increase to soybean exports.  Higher soybean shipments for Brazil and Paraguay offset lower U.S. exports.  Parallel to higher exports is a 1-million-ton increase to Chinese soybean imports reaching a record 87 million tons.  Forecast global oilseed stocks are raised 2.6 million tons to 94.3 million mainly on higher soybean stocks, which are increased 2.5 million tons for Brazil, China, and the United States combined.  Production changes to oilseed products include increased meals and lower vegetable oils.  Higher oilseed meal is mainly driven by increased soybean meal production for Brazil, the United States, and Thailand.  Global vegetable oil production is lowered 0.6 million tons mostly on a reduction in palm oil for Malaysia and Colombia. "

"SUGAR:  U.S. fiscal year 2016/17 beet sugar production is decreased 265,000 short tons, raw value (STRV) to 5.106 million.  Sucrose recovery from sugarbeet slicing reported by processors in the Sweetener Market Data (SMD) for the period covering the 6 months between August 2016 and January 2017 of this year’s sugarbeet harvest cycle imply a final crop year recovery projection from slicing at 13.9 percent, much less than the 14.7 percent underlying previous projections based on historical averages.  Projected imports of sugar from Mexico for 2016/17 are increased by 189,780 STRV to 1.162 million, and projected tariff-rate quota imports (TRQ) are increased by 44,093 STRV to 1.576 million based on USDA’s increase of the specialty sugar TRQ, announced on February 24.  Deliveries for human consumption for 2016/17 are increased by 100,000 STRV to 12.100 million based on strong deliveries in the first 4 months of the fiscal year and a continuation of that growth, but at a reduced rate for the remainder of the year.  Ending stocks for 2016/17 are projected residually at 1.677 million STRV, implying a stocks-to-use ratio of 13.6 percent.  Included in ending stocks are 12,476 STRV of sugar recorded by the U.S. Census Bureau as imported from Mexico in 2016/17 but which entered under a 2015/16 Mexico export license."

"For Mexico, exports to the United States for 2016/17 are projected at 994,502 metric tons (MT), based on changes made in the March 2017 WASDE for the United States as per the Countervailing Duty (CVD) Suspension Agreement of December 19, 2014 (“Target Quantity of U.S. Sugar Needs”).  The ending stock total for 2016/17 is forecast at 1.278 million MT, an amount projected to meet sugar supply requirements of domestic consumption and exports to the U.S. market for the first three months of the following marketing year.  Exports for 2016/17 to non-U.S. destinations are projected residually at 426,354 MT.  Total exports are 1.421 million MT, the sum of projected exports to the United States and to other countries."

"For Mexico, exports to the United States for 2016/17 are projected at 994,502 metric tons (MT), based on changes made in the March 2017 WASDE for the United States as per the Countervailing Duty (CVD) Suspension Agreement of December 19, 2014 (“Target Quantity of U.S. Sugar Needs”).  The ending stock total for 2016/17 is forecast at 1.278 million MT, an amount projected to meet sugar supply requirements of domestic consumption and exports to the U.S. market for the first three months of the following marketing year.  Exports for 2016/17 to non-U.S. destinations are projected residually at 426,354 MT.  Total exports are 1.421 million MT, the sum of projected exports to the United States and to other countries."

"LIVESTOCK, POULTRY, AND DAIRY:  Total U.S. meat production for 2017 is increased from the previous month as higher forecast beef production more than offsets lower forecast pork and turkey production.  The broiler production forecast is unchanged from the previous month.  First quarter beef production is raised on current slaughter data, and third-quarter production is raised as higher expected first quarter placements are marketed in the second half of the year.  However, carcass weights for the year are forecast lower as feedlot operators are expected to remain current in their marketings.  The pork production forecast is slightly lower as a result of lighter carcass weights in the first half of the year.  USDA will release the Quarterly Hogs and Pigs report March 30th, providing an indication of producer intentions for farrowings in the next 2 quarters.  Small changes are made to 2016 poultry production estimates, reflecting recent data revisions.  For 2017, the turkey production forecast is decreased on slower expected second-half production growth.  Egg production estimates for 2015 and 2016 reflect recent NASS revisions.  Forecast egg production is increased. "

"The forecast for 2017 beef imports is unchanged, but the export forecast is raised on stronger-than-expected export shipments thus far in the quarter.  Pork imports are lowered for 2017, reflecting larger domestic supplies and limited demand for foreign product.  Forecast pork exports are raised on robust international demand and large domestic supplies of pork.  No change is made to broiler and turkey trade forecasts.  The egg export forecast is reduced as South Korea’s ban on imports of U.S. poultry and products, due to the recent Highly Pathogenic Avian Influenza outbreak in the United States, limits expected export growth.  "

"Cattle, hog, and broiler price forecasts for 2017 are raised from last month on continued demand strength.  The 2017 turkey price forecast is lowered as the first-quarter price forecast is reduced.  Egg price forecasts are lowered from last month on current price movements.  "

"The 2017 milk production forecast is raised as milk cow numbers are expected to increase more rapidly.  However, growth in milk per cow is reduced on January data.  Dairy exports on a fat basis for 2017 are unchanged, while skim-solids basis exports are lowered on expected strong competition in international skim milk powder markets.  Both fat basis and skim-solids basis imports forecasts are unchanged.  Skim-solids basis ending stocks are forecast higher for 2017 on higher production of dairy products and weaker exports.  Fat-basis ending stocks are unchanged.  Historical milk production and stock estimates reflect recently released revisions.  "

"The cheese price forecast for 2017 is reduced as stocks of cheese are high and are expected to pressure prices.  The butter price forecast is raised on continued demand strength.  The nonfat dry milk price is forecast lower on expectations of slower export growth due to increased competition from global competitors.  The whey price forecast is raised reflecting recent market strength.  The Class III price is raised as the higher whey price more than outweighs the reduced cheese price.  The Class IV price forecast is lowered, reflecting a weaker nonfat dry milk price which more than offsets a higher forecast butter price.  The all milk price for 2017 is forecast at $17.80 to $18.40 per cwt."

"COTTON:  This month’s 2016/17 U.S. cotton forecasts show higher production and exports relative to last month.  Production is raised 271,000 bales to 17.2 million based on the March 9 Cotton Ginnings report.  The final estimates for this season’s U.S. area, yield, and production will be published in the May 2017 Crop Production report.  Domestic mill use is unchanged from last month, but exports are raised 0.5 million bales to 13.2 million based on recent very strong sales and shipments.  U.S. exports are projected to capture nearly 37 percent of world trade, a 7-year high.  Ending stocks are lowered 300,000 bales to 4.5 million.   The projected range for the marketing year average price received by producers of 67.0 to 70.0 cents per pound is reduced 1 cent on the upper end, as the reported average price for January fell below previous expectations."

"The forecast 2016/17 global production is raised slightly this month due to the revision in the United States, while world consumption is virtually unchanged.  Consumption is raised for Indonesia and Vietnam and reduced for Turkey and other countries.  World beginning stocks are raised marginally due to higher estimated 2015/16 production in Australia.  Forecast world trade is raised slightly, with imports and exports revised for several countries based on activity to date.  World ending stocks are now projected at 90.5 million bales, nearly 600,000 bales above last month."
March 2017,,,,,,,

 WASDE - 563 - 8,,,,,,,

World and U.S Supply and Use for Grains  1/,,,,,,,

Million Metric Tons,,,,,,,
,,,,,,,,
World,,,Output,"Total
Supply",Trade 2/,"Total
Use 3/","Ending
Stocks"
,,,,,,,,
Total Grains 4/,2014/15,,2514.44,3034.26,394.13,2455.08,579.18
,2015/16 (Est.) ,,2456.79,3035.97,377.33,2433.49,602.48
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,2557.4,3160.65,406.13,2543.41,617.24
,2016/17 (Proj.) ,Mar,2573.12,3175.6,412.78,2553,622.61
,,,filler,filler,filler,filler,filler
Wheat,2014/15,,728.28,923.2,164.42,705.69,217.52
,2015/16 (Est.) ,,735.25,952.77,172.79,712.48,240.29
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,748.24,989,178.99,740.4,248.61
,2016/17 (Proj.) ,Mar,751.07,991.36,181.02,741.42,249.94
,,,filler,filler,filler,filler,filler
Coarse Grains 5/,2014/15,,1307.6,1518.64,186.13,1271.88,246.75
,2015/16 (Est.) ,,1249.37,1496.13,164.15,1250.07,246.05
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,1329.03,1575.06,185.78,1324.39,250.67
,2016/17 (Proj.) ,Mar,1341.7,1587.75,190.53,1332.74,255.01
,,,filler,filler,filler,filler,filler
"Rice, milled",2014/15,,478.55,592.42,43.58,477.51,114.91
,2015/16 (Est.) ,,472.16,587.08,40.39,470.93,116.15
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,480.13,596.59,41.36,478.63,117.96
,2016/17 (Proj.) ,Mar,480.35,596.49,41.23,478.84,117.65
,,,filler,filler,filler,filler,filler
,,,,,,,,
United States,,,Output,"Total
Supply",Trade 2/,"Total
Use 3/","Ending
Stocks"
,,,,,,,,
Total Grains 4/,2014/15,,439.49,499.23,83.28,346.98,68.98
,2015/16 (Est.) ,,429.26,506,81.59,348.28,76.14
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,472.57,556.5,93.79,367.21,95.51
,2016/17 (Proj.) ,Mar,472.57,556.21,93.78,367.21,95.22
,,,filler,filler,filler,filler,filler
Wheat,2014/15,,55.15,75.33,23.52,31.33,20.48
,2015/16 (Est.) ,,56.12,79.67,21.09,32.02,26.55
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,62.86,92.81,27.9,33.91,31.01
,2016/17 (Proj.) ,Mar,62.86,92.54,27.9,33.91,30.73
,,,filler,filler,filler,filler,filler
Coarse Grains 5/,2014/15,,377.23,414.99,56.7,311.34,46.95
,2015/16 (Est.) ,,367.01,417.89,57.07,312.7,48.11
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,402.6,454.35,62.4,329.1,62.85
,2016/17 (Proj.) ,Mar,402.6,454.33,62.39,329.1,62.83
,,,filler,filler,filler,filler,filler
"Rice, milled",2014/15,,7.11,8.91,3.06,4.3,1.55
,2015/16 (Est.) ,,6.13,8.45,3.42,3.55,1.48
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,7.12,9.34,3.49,4.19,1.66
,2016/17 (Proj.) ,Mar,7.12,9.34,3.49,4.19,1.66
,,,filler,filler,filler,filler,filler
,,,,,,,,
"1/ Aggregate of local marketing years.  2/ Based on export estimate.  See individual commodity tables for treatment of export/import imbalances.  3/ Total use for the United States is equal to domestic consumption only (excludes exports).      4/ Wheat, coarse grains, and milled rice.  5/ Corn, sorghum, barley, oats, rye,  millet, and mixed grains (for U.S. excludes millet and mixed grains).",,,,,,,

March 2017,,,,,,,

 WASDE - 563 - 9,,,,,,,

"World and U.S. Supply and Use for Grains, Continued  1/",,,,,,,

Million Metric Tons,,,,,,,
,,,,,,,,
Foreign  3/,,,Output,"Total
Supply",Trade 2/,"Total
Use","Ending
Stocks"
,,,,,,,,
Total Grains  4/,2014/15,,2074.95,2535.03,310.85,2108.11,510.2
,2015/16 (Est.) ,,2027.53,2529.97,295.74,2085.21,526.34
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,2084.82,2604.15,312.35,2176.21,521.73
,2016/17 (Proj.) ,Mar,2100.55,2619.4,319,2185.79,527.39
,,,filler,filler,filler,filler,filler
Wheat,2014/15,,673.13,847.87,140.9,674.35,197.04
,2015/16 (Est.) ,,679.14,873.1,151.69,680.46,213.74
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,685.38,896.19,151.1,706.48,217.6
,2016/17 (Proj.) ,Mar,688.22,898.82,153.12,707.51,219.21
,,,filler,filler,filler,filler,filler
Coarse Grains  5/,2014/15,,930.37,1103.65,129.43,960.54,199.81
,2015/16 (Est.) ,,882.37,1078.24,107.08,937.37,197.94
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,926.43,1120.71,123.39,995.28,187.83
,2016/17 (Proj.) ,Mar,939.1,1133.42,128.14,1003.64,192.18
,,,filler,filler,filler,filler,filler
"Rice, milled",2014/15,,471.45,583.51,40.52,473.21,113.36
,2015/16 (Est.) ,,466.03,578.62,36.97,467.37,114.67
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,473.02,587.25,37.87,474.44,116.3
,2016/17 (Proj.) ,Mar,473.23,587.15,37.74,474.65,116
,,,filler,filler,filler,filler,filler
,,,,,,,,
"1/ Aggregate of local marketing years.  2/ Based on export estimate.  See individual commodity tables for treatment of export/import imbalances.  3/ Total foreign is equal to world minus United States.  4/ Wheat, coarse grains, and milled rice.    5/ Corn, sorghum, barley, oats, rye, millet, and mixed grains.",,,,,,,

World and U.S. Supply and Use for Cotton  1/,,,,,,,

Million 480-lb. Bales,,,,,,,
,,,,,,,,
,,,Output,"Total
Supply",Trade 2/,"Total
Use 3/","Ending
Stocks"
,,,,,,,,
World,2014/15,,119.19,222.5,35.32,111.41,111.73
,2015/16 (Est.) ,,96.72,208.45,35.29,111.23,97.09
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,105.42,202.25,35.74,112.52,89.9
,2016/17 (Proj.) ,Mar,105.72,202.81,35.95,112.43,90.48
,,,filler,filler,filler,filler,filler
United States,2014/15,,16.32,18.68,11.25,3.58,3.65
,2015/16 (Est.) ,,12.89,16.57,9.15,3.45,3.8
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,16.96,20.77,12.7,3.3,4.8
,2016/17 (Proj.) ,Mar,17.23,21.04,13.2,3.3,4.5
,,,filler,filler,filler,filler,filler
Foreign  4/,2014/15,,102.87,203.82,24.07,107.84,108.08
,2015/16 (Est.) ,,83.84,191.88,26.14,107.78,93.29
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,88.46,181.48,23.04,109.22,85.1
,2016/17 (Proj.) ,Mar,88.49,181.77,22.75,109.13,85.98
,,,filler,filler,filler,filler,filler
,,,,,,,,
1/ Marketing year beginning August 1.  2/ Based on export estimate.  3/ Includes mill use only.  4/  Total Foreign is equal to world minus United States. See global cotton tables for treatment of export/import imbalances.,,,,,,,
March 2017,,,,,,,

 WASDE - 563 - 10,,,,,,,

World and U.S. Supply and Use for Oilseeds  1/,,,,,,,

(Million Metric Tons),,,,,,,
,,,,,,,,
World,,,Output,"Total
Supply",Trade,"Total
Use  2/","Ending
Stocks"
,,,,,,,,
Oilseeds,2014/15,,536.65,614.18,147.13,440.14,92.52
,2015/16 (Est.) ,,520.99,613.52,153.44,447.26,88.92
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,554.19,643.71,160.98,468.52,91.67
,2016/17 (Proj.) ,Mar,558.03,646.94,162.36,468.5,94.26
,,,filler,filler,filler,filler,filler
Oilmeals,2014/15,,300.41,314.17,86.14,294.19,16.13
,2015/16 (Est.) ,,306.82,322.96,86.91,304.83,14.68
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,320.54,335.14,91.63,316.73,13.74
,2016/17 (Proj.) ,Mar,320.92,335.6,91.57,316.58,14.09
,,,filler,filler,filler,filler,filler
Vegetable Oils,2014/15,,177.12,200.79,76.5,171.62,23.73
,2015/16 (Est.) ,,177.15,200.88,73.65,178.26,19.93
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,187.35,207.36,78.58,184.92,18.51
,2016/17 (Proj.) ,Mar,186.78,206.71,78.18,184.17,18.39
,,,filler,filler,filler,filler,filler
,,,,,,,,
United States,,,Output,"Total
Supply",Trade,"Total
Use  2/","Ending
Stocks"
,,,,,,,,
Oilseeds,2014/15,,116.03,121.83,51.12,55.11,6.76
,2015/16 (Est.) ,,115.88,123.76,53.79,55.05,6.87
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,127.31,135.79,56.88,57.05,12.95
,2016/17 (Proj.) ,Mar,127.31,135.79,56.17,57.39,13.32
,,,filler,filler,filler,filler,filler
Oilmeals,2014/15,,43.28,47.44,12.15,35.01,0.29
,2015/16 (Est.) ,,42.87,47.23,11.21,35.74,0.28
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,43.87,48.36,10.88,37.15,0.34
,2016/17 (Proj.) ,Mar,44.07,48.33,10.9,37.1,0.33
,,,filler,filler,filler,filler,filler
Vegetable Oils,2014/15,,10.94,16.14,1.17,13.68,1.29
,2015/16 (Est.) ,,11.2,17.03,1.25,14.54,1.24
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,11.61,17.61,1.24,15.12,1.25
,2016/17 (Proj.) ,Mar,11.71,17.69,1.34,15.1,1.26
,,,filler,filler,filler,filler,filler
Foreign  3/,,,Output,"Total
Supply",Trade,"Total
Use  2/","Ending
Stocks"
,,,,,,,,
Oilseeds,2014/15,,420.62,492.35,96.02,385.03,85.77
,2015/16 (Est.) ,,405.11,489.76,99.65,392.2,82.05
,,,filler,filler,filler,filler,filler
,2016/17 (Proj.) ,Feb,426.88,507.91,104.1,411.46,78.72
,2016/17 (Proj.) ,Mar,430.72,511.15,106.19,411.1,80.94
,,,filler,filler,filler,filler,filler
Oilmeals,2014/15,,257.13,266.73,73.99,259.19,15.84
,2015/16 (Est.) ,,263.96,275.73,75.7,269.09,14.4
